,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovak Republic,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,Coal_Asia,Coal_Africa,Coal_Europe,Coal_NA,Coal_SA,Coal_Oceania,Coal_Total
1965,70000.0,727000.0,17400000.0,5080000.0,0.0,0.0,0.0,19200000.0,1740000.0,6000000.0,15500000.0,1170000.0,114000000.0,2010000.0,0.0,0.0,35300000.0,3700000.0,0.0,403000.0,0.0,1740000.0,41400000.0,161000000.0,2110000.0,10900000.0,6540.0,35500000.0,129000.0,211000.0,0.0,3130000.0,0.0,8630000.0,48700000.0,0.0,0.0,0.0,0.0,2730000.0,15000.0,690000.0,182000.0,8860000.0,1650000.0,0.0,763000.0,0.0,1380000.0,36100.0,44300.0,59500000.0,592000.0,0.0,4360000.0,0.0,0.0,4000.0,6040000.0,0.0,24700000.0,4950000.0,9700000.0,0.0,2230000.0,1280000.0,45000.0,0.0,3670000.0,0.0,0.0,0.0,117000000.0,277000000.0,0.0,20000.0,898000.0,205876300.0,25355000.0,514921540.0,293190000.0,5703100.0,19050000.0,1064095940.0
1966,68000.0,599000.0,18000000.0,4860000.0,0.0,0.0,0.0,17500000.0,1880000.0,6180000.0,15200000.0,1200000.0,122000000.0,2010000.0,0.0,0.0,35200000.0,4190000.0,0.0,274000.0,0.0,1620000.0,38300000.0,150000000.0,2100000.0,10500000.0,4810.0,35500000.0,158000.0,232000.0,0.0,3560000.0,0.0,8970000.0,51900000.0,0.0,0.0,0.0,0.0,2460000.0,20000.0,736000.0,279000.0,8070000.0,1600000.0,0.0,703000.0,0.0,1160000.0,45500.0,42000.0,60300000.0,604000.0,0.0,4700000.0,0.0,0.0,5000.0,6110000.0,0.0,24300000.0,5610000.0,8970000.0,0.0,2130000.0,1050000.0,65000.0,0.0,4080000.0,0.0,0.0,0.0,112000000.0,291000000.0,0.0,21000.0,943000.0,217635000.0,24921000.0,494161810.0,306936000.0,5755500.0,19600000.0,1069009310.0
1967,52000.0,674000.0,18500000.0,4600000.0,0.0,0.0,0.0,17200000.0,1940000.0,6710000.0,15000000.0,1200000.0,109000000.0,2210000.0,0.0,0.0,34100000.0,3590000.0,0.0,422000.0,0.0,1560000.0,37800000.0,145000000.0,2010000.0,9080000.0,3700.0,36100000.0,111000.0,256000.0,0.0,3790000.0,0.0,9830000.0,57000000.0,0.0,0.0,0.0,0.0,2310000.0,12000.0,903000.0,277000.0,7760000.0,1460000.0,0.0,738000.0,0.0,1120000.0,51300.0,32700.0,61400000.0,601000.0,0.0,5200000.0,0.0,0.0,3000.0,5900000.0,0.0,25000000.0,5350000.0,9120000.0,0.0,2110000.0,889000.0,116000.0,0.0,3620000.0,0.0,0.0,0.0,104000000.0,285000000.0,0.0,22000.0,1030000.0,210130700.0,25751000.0,478921700.0,300903000.0,6097300.0,19960000.0,1041763700.0
1968,55000.0,655000.0,19100000.0,4540000.0,0.0,0.0,0.0,17700000.0,1910000.0,7290000.0,16300000.0,1200000.0,108000000.0,2010000.0,0.0,0.0,35300000.0,3220000.0,0.0,439000.0,0.0,1870000.0,36400000.0,147000000.0,2270000.0,8960000.0,2920.0,37300000.0,83000.0,282000.0,0.0,4630000.0,0.0,9520000.0,58700000.0,0.0,0.0,0.0,0.0,2470000.0,12000.0,946000.0,249000.0,7360000.0,1380000.0,0.0,751000.0,0.0,1230000.0,50900.0,14900.0,64300000.0,541000.0,0.0,5700000.0,0.0,0.0,6000.0,6200000.0,0.0,26200000.0,5050000.0,9230000.0,0.0,1840000.0,841000.0,128000.0,0.0,3940000.0,0.0,0.0,0.0,104000000.0,295000000.0,0.0,23000.0,1150000.0,211955900.0,26943000.0,485875920.0,312246000.0,5848900.0,20480000.0,1063349720.0
1969,70000.0,784000.0,19700000.0,4470000.0,0.0,0.0,0.0,17300000.0,2130000.0,7330000.0,15800000.0,1200000.0,130000000.0,2150000.0,0.0,0.0,36600000.0,2940000.0,0.0,474000.0,0.0,2250000.0,36400000.0,151000000.0,2200000.0,9090000.0,2060.0,39600000.0,100000.0,311000.0,0.0,4410000.0,0.0,9770000.0,62700000.0,0.0,0.0,0.0,0.0,2630000.0,15000.0,959000.0,249000.0,6260000.0,1410000.0,0.0,837000.0,0.0,1110000.0,85700.0,19600.0,67600000.0,510000.0,0.0,6590000.0,0.0,0.0,3000.0,6520000.0,0.0,26500000.0,5270000.0,9290000.0,0.0,1800000.0,760000.0,136000.0,0.0,4180000.0,0.0,0.0,0.0,102000000.0,296000000.0,0.0,24000.0,1220000.0,240484600.0,27293000.0,492739060.0,312759000.0,6373700.0,21110000.0,1100759360.0
1970,83000.0,1010000.0,19900000.0,4800000.0,0.0,0.0,0.0,16300000.0,2440000.0,8020000.0,16900000.0,1280000.0,166000000.0,2240000.0,0.0,0.0,37100000.0,2350000.0,0.0,437000.0,0.0,2280000.0,34700000.0,149000000.0,2530000.0,9240000.0,1380.0,37600000.0,87000.0,343000.0,0.0,2150000.0,0.0,9870000.0,60400000.0,0.0,0.0,0.0,0.0,2690000.0,16000.0,1080000.0,286000.0,4590000.0,1410000.0,0.0,855000.0,0.0,923000.0,86900.0,19600.0,70200000.0,467000.0,0.0,7160000.0,0.0,0.0,3000.0,6580000.0,0.0,27400000.0,5630000.0,9810000.0,0.0,1900000.0,653000.0,145000.0,0.0,4630000.0,0.0,0.0,0.0,96000000.0,294000000.0,0.0,24000.0,1300000.0,272466600.0,28206000.0,483876380.0,311980000.0,7080900.0,21310000.0,1124919880.0
1971,23000.0,884000.0,20000000.0,4410000.0,0.0,0.0,0.0,13500000.0,2450000.0,7920000.0,16100000.0,1240000.0,191000000.0,1740000.0,0.0,0.0,38700000.0,1440000.0,0.0,359000.0,0.0,2030000.0,31800000.0,143000000.0,3730000.0,8950000.0,946.0,38100000.0,100000.0,242000.0,0.0,2050000.0,0.0,9540000.0,54800000.0,0.0,0.0,0.0,0.0,2480000.0,41000.0,1350000.0,299000.0,3460000.0,1260000.0,0.0,804000.0,0.0,731000.0,122000.0,19100.0,71800000.0,432000.0,0.0,7560000.0,0.0,0.0,3970.0,6900000.0,0.0,29200000.0,5690000.0,9860000.0,0.0,1720000.0,441000.0,114000.0,0.0,4760000.0,0.0,0.0,0.0,85100000.0,278000000.0,0.0,143000.0,1430000.0,292271070.0,29881000.0,462387946.0,295450000.0,6579000.0,21260000.0,1107829016.0
1972,20000.0,744000.0,20900000.0,3990000.0,0.0,93500.0,0.0,12900000.0,2580000.0,8160000.0,15200000.0,1020000.0,202000000.0,1810000.0,0.0,0.0,38100000.0,1470000.0,0.0,317000.0,0.0,2250000.0,28300000.0,139000000.0,3980000.0,8690000.0,683.0,40200000.0,100000.0,378000.0,0.0,1910000.0,0.0,8870000.0,53600000.0,0.0,0.0,0.0,0.0,2440000.0,104000.0,1490000.0,369000.0,2960000.0,1290000.0,0.0,873000.0,0.0,586000.0,132000.0,18700.0,75100000.0,382000.0,0.0,7920000.0,0.0,0.0,2990.0,7020000.0,0.0,29500000.0,5830000.0,10100000.0,0.0,1470000.0,373000.0,89800.0,0.0,5110000.0,0.0,0.0,0.0,74500000.0,289000000.0,0.0,150000.0,1080000.0,304082990.0,30206000.0,445868683.0,305690000.0,6436000.0,22190000.0,1114473673.0
1973,23000.0,817000.0,21800000.0,3970000.0,0.0,121000.0,0.0,10800000.0,2540000.0,8220000.0,15600000.0,1110000.0,205000000.0,1850000.0,0.0,0.0,37300000.0,2250000.0,0.0,276000.0,0.0,2500000.0,27900000.0,140000000.0,4680000.0,8740000.0,431.0,39700000.0,67000.0,635000.0,0.0,1860000.0,0.0,9000000.0,56600000.0,0.0,0.0,0.0,0.0,2420000.0,99000.0,1600000.0,366000.0,3010000.0,1460000.0,0.0,938000.0,0.0,582000.0,151000.0,18700.0,75500000.0,565000.0,0.0,8920000.0,0.0,0.0,4340.0,6830000.0,0.0,31400000.0,7370000.0,9890000.0,0.0,1630000.0,354000.0,96100.0,0.0,5220000.0,0.0,0.0,0.0,80700000.0,311000000.0,0.0,272000.0,1550000.0,311843140.0,32065000.0,453197431.0,328200000.0,6740000.0,23260000.0,1155305571.0
1974,19000.0,1020000.0,22700000.0,4190000.0,0.0,108000.0,0.0,11500000.0,2690000.0,8080000.0,15900000.0,1050000.0,203000000.0,2230000.0,0.0,0.0,37100000.0,2130000.0,0.0,483000.0,0.0,2540000.0,28300000.0,140000000.0,4930000.0,8330000.0,347.0,44800000.0,73000.0,695000.0,0.0,2010000.0,0.0,9800000.0,60000000.0,0.0,0.0,0.0,0.0,2580000.0,99000.0,1770000.0,363000.0,2870000.0,1500000.0,0.0,1040000.0,0.0,533000.0,161000.0,26100.0,77600000.0,439000.0,0.0,9380000.0,0.0,0.0,5320.0,6800000.0,0.0,32900000.0,7610000.0,9580000.0,0.0,1800000.0,305000.0,144000.0,0.0,5690000.0,0.0,0.0,0.0,71100000.0,303000000.0,0.0,204000.0,1850000.0,318943420.0,33765000.0,448094347.0,320670000.0,7355000.0,24200000.0,1153027767.0
