,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyz Republic,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovak Republic,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Energy_Production_Asia,Energy_Production_Africa,Energy_Production_Europe,Energy_Production_NA,Energy_Production_SA,Energy_Production_Oceania
1960,0.0,0.0,0.0,0.0,0.0,21300.0,7360.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290.0,45300.0,0.0,0.0,125000.0,0.0,322.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,1380.0,0.0,13800.0,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,2490.0,0.0,0.0,0.0,0.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,64800.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9840.0,0.0,0.0,5480.0,2110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9370.0,0.0,0.0,0.0,115000.0,965000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,0.0,434639.72,1022100.0,0.0,23790.0
1961,0.0,0.0,0.0,0.0,0.0,22500.0,7120.0,0.0,0.0,0.0,0.0,13400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,44100.0,0.0,0.0,127000.0,0.0,341.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,1350.0,0.0,14100.0,0.0,49900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,2580.0,0.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,66800.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9950.0,0.0,0.0,5930.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9480.0,0.0,0.0,0.0,113000.0,973000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0,0.0,436335.9,1037300.0,0.0,25080.0
1962,0.0,0.0,0.0,0.0,0.0,22900.0,7290.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5560.0,44700.0,0.0,0.0,127000.0,0.0,385.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,1350.0,0.0,14100.0,0.0,48100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9980.0,2700.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,68700.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9310.0,0.0,0.0,6110.0,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9730.0,0.0,0.0,0.0,118000.0,1010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48100.0,0.0,443597.87,1084200.0,0.0,25600.0
1963,0.0,0.0,0.0,0.0,0.0,23600.0,7750.0,0.0,0.0,0.0,0.0,13400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5390.0,42600.0,0.0,0.0,130000.0,0.0,495.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,1350.0,0.0,14700.0,0.0,47200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,3030.0,0.0,0.0,0.0,0.0,3690.0,0.0,0.0,0.0,0.0,0.0,0.0,71300.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,6000.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,0.0,0.0,0.0,118000.0,1060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47200.0,0.0,449703.172,1138900.0,0.0,26630.0
1964,0.0,0.0,0.0,0.0,0.0,25400.0,7700.0,0.0,0.0,0.0,0.0,13300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5390.0,45800.0,0.0,0.0,132000.0,0.0,520.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,1370.0,0.0,15900.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,3350.0,0.0,0.0,0.0,0.0,4120.0,0.0,0.0,0.0,0.0,0.0,0.0,75700.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9460.0,0.0,0.0,6490.0,2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10600.0,0.0,0.0,0.0,117000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,0.0,460390.45,1185300.0,0.0,28750.0
1965,0.0,0.0,0.0,0.0,0.0,28300.0,8000.0,0.0,0.0,0.0,0.0,12400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5440.0,46000.0,0.0,0.0,126000.0,0.0,641.0,0.0,0.0,0.0,10400.0,201.0,0.0,0.0,0.0,0.0,1120.0,0.0,16000.0,0.0,48100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.0,3380.0,0.0,0.0,0.0,0.0,4550.0,0.0,0.0,0.0,0.0,0.0,0.0,77300.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.0,0.0,0.0,6770.0,2530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,0.0,0.0,0.0,115000.0,1140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48100.0,0.0,466665.51,1229700.0,0.0,31680.0
1966,0.0,0.0,0.0,0.0,0.0,29600.0,8150.0,0.0,0.0,0.0,0.0,10900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5460.0,45900.0,0.0,0.0,120000.0,0.0,764.0,0.0,0.0,0.0,10400.0,222.0,0.0,0.0,0.0,0.0,1260.0,0.0,16700.0,0.0,48900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,3420.0,0.0,0.0,0.0,0.0,4480.0,0.0,0.0,0.0,0.0,0.0,0.0,79900.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0,0.0,6590.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200.0,0.0,0.0,0.0,109000.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48900.0,0.0,458753.74,1296800.0,0.0,33020.0
1967,0.0,0.0,0.0,0.0,0.0,31200.0,7790.0,0.0,0.0,0.0,0.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5420.0,44400.0,0.0,0.0,110000.0,0.0,800.0,0.0,0.0,0.0,10100.0,241.0,0.0,0.0,0.0,0.0,1360.0,0.0,17000.0,0.0,44900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0,3150.0,0.0,0.0,0.0,0.0,4880.0,0.0,0.0,0.0,0.0,0.0,0.0,81500.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9780.0,0.0,0.0,6930.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,109000.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44900.0,0.0,450417.33999999997,1404000.0,0.0,34350.0
1968,0.0,0.0,0.0,0.0,0.0,35300.0,7560.0,0.0,0.0,0.0,0.0,9270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,41200.0,0.0,0.0,113000.0,0.0,867.0,0.0,0.0,0.0,10700.0,273.0,0.0,0.0,0.0,0.0,1710.0,0.0,17600.0,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17200.0,3250.0,0.0,0.0,0.0,0.0,5410.0,0.0,0.0,0.0,0.0,0.0,0.0,85900.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,0.0,0.0,6870.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500.0,0.0,0.0,0.0,107000.0,1340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44800.0,0.0,457967.43,1453000.0,0.0,38550.0
1969,0.0,0.0,0.0,0.0,0.0,38700.0,7360.0,0.0,0.0,0.0,0.0,8260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5030.0,41400.0,0.0,0.0,117000.0,0.0,1040.0,0.0,0.0,0.0,11000.0,310.0,0.0,0.0,0.0,0.0,1620.0,0.0,18500.0,0.0,42300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22400.0,3320.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,91600.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,0.0,0.0,6450.0,2770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,102000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42300.0,0.0,468074.31,1496000.0,0.0,42020.0
