,Algeria,Argentina,Australia,Azerbaijan,Bahrain,Bangladesh,Bolivia,Brazil,Brunei,Canada,China,Colombia,Denmark,Egypt,Germany,India,Indonesia,Iran,Iraq,Italy,Kazakhstan,Kuwait,Libya,Malaysia,Mexico,Myanmar,Netherlands,Nigeria,Norway,Oman,Pakistan,Peru,Poland,Qatar,Romania,Russia,Saudi Arabia,Syria,Thailand,Trinidad and Tobago,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,Yemen,Gas_Asia,Gas_Africa,Gas_Europe,Gas_NA,Gas_SA,Gas_Oceania,Gas_Total
1970,2100000.0,5030000.0,1490000.0,0.0,559000.0,0.0,36000.0,69700.0,184000.0,46400000.0,2490000.0,1070000.0,0.0,70300.0,10300000.0,544000.0,1100000.0,3010000.0,637000.0,10800000.0,0.0,1660000.0,240000.0,0.0,9480000.0,6340.0,24000000.0,90700.0,0.0,0.0,2500000.0,342000.0,4400000.0,894000.0,18700000.0,0.0,1320000.0,0.0,0.0,1530000.0,0.0,0.0,698000.0,9420000.0,491000000.0,0.0,7360000.0,0.0,0.0,15602340.0,2501000.0,77620000.0,546880000.0,15437700.0,1490000.0,659531040.0
1971,2210000.0,5440000.0,2220000.0,0.0,815000.0,0.0,36000.0,111000.0,182000.0,50800000.0,3240000.0,1120000.0,0.0,70300.0,12700000.0,577000.0,1310000.0,7270000.0,756000.0,11000000.0,0.0,1720000.0,578000.0,71300.0,9390000.0,12200.0,33200000.0,168000.0,0.0,0.0,2500000.0,408000.0,4540000.0,894000.0,20000000.0,0.0,1100000.0,0.0,0.0,1600000.0,0.0,0.0,1230000.0,15600000.0,505000000.0,0.0,7130000.0,0.0,0.0,21677500.0,3026300.0,97040000.0,565190000.0,15845000.0,2220000.0,704998800.0
1972,2800000.0,5170000.0,3190000.0,0.0,1020000.0,378000.0,960000.0,151000.0,373000.0,57300000.0,4190000.0,1370000.0,0.0,58800.0,15200000.0,632000.0,970000.0,9800000.0,764000.0,11700000.0,0.0,2030000.0,2310000.0,99800.0,9760000.0,13100.0,44200000.0,225000.0,0.0,0.0,2310000.0,392000.0,4800000.0,982000.0,20400000.0,0.0,1250000.0,0.0,0.0,1660000.0,0.0,0.0,1250000.0,22600000.0,504000000.0,0.0,7090000.0,0.0,0.0,26061900.0,5393800.0,118900000.0,571060000.0,16793000.0,3190000.0,741398700.0
1973,3720000.0,5630000.0,4050000.0,0.0,1440000.0,523000.0,1480000.0,173000.0,1630000.0,61400000.0,5180000.0,1420000.0,0.0,47200.0,17100000.0,631000.0,1500000.0,10800000.0,743000.0,12600000.0,0.0,2280000.0,3700000.0,99800.0,10600000.0,15800.0,53800000.0,345000.0,0.0,0.0,2630000.0,384000.0,4870000.0,1410000.0,21600000.0,0.0,1470000.0,0.0,0.0,1590000.0,0.0,0.0,1450000.0,24500000.0,503000000.0,0.0,8730000.0,0.0,0.0,31802600.0,7812200.0,134470000.0,575000000.0,19407000.0,4050000.0,772541800.0
1974,4300000.0,6060000.0,4620000.0,0.0,1780000.0,575000.0,1550000.0,332000.0,3540000.0,60200000.0,6530000.0,1470000.0,0.0,49700.0,17700000.0,714000.0,1550000.0,11200000.0,683000.0,12600000.0,0.0,2390000.0,3330000.0,208000.0,11100000.0,142000.0,63800000.0,322000.0,0.0,0.0,2910000.0,396000.0,4710000.0,1160000.0,22300000.0,0.0,1860000.0,0.0,0.0,1450000.0,0.0,0.0,1460000.0,29600000.0,481000000.0,0.0,9230000.0,0.0,0.0,36702000.0,8001700.0,150710000.0,552300000.0,20488000.0,4620000.0,772821700.0
1975,5290000.0,6430000.0,4960000.0,0.0,1870000.0,578000.0,1530000.0,362000.0,4640000.0,61400000.0,7670000.0,1280000.0,0.0,41400.0,16400000.0,914000.0,2030000.0,11700000.0,1060000.0,12000000.0,0.0,2620000.0,3790000.0,251000.0,11300000.0,152000.0,69100000.0,288000.0,0.0,0.0,3270000.0,488000.0,4850000.0,1780000.0,24300000.0,0.0,2210000.0,0.0,0.0,1320000.0,0.0,0.0,1390000.0,30800000.0,445000000.0,0.0,8980000.0,0.0,0.0,42135000.0,9409400.0,157450000.0,517700000.0,20390000.0,4960000.0,752044400.0
1976,6660000.0,6130000.0,5850000.0,0.0,1960000.0,761000.0,1570000.0,417000.0,6120000.0,62000000.0,8750000.0,1300000.0,0.0,314000.0,17000000.0,1110000.0,2050000.0,11900000.0,1470000.0,12900000.0,0.0,3160000.0,3900000.0,299000.0,11100000.0,211000.0,73800000.0,535000.0,0.0,0.0,3340000.0,530000.0,5280000.0,974000.0,26500000.0,0.0,2390000.0,27000.0,0.0,1490000.0,0.0,0.0,1630000.0,32600000.0,442000000.0,0.0,11100000.0,0.0,0.0,46125000.0,11436000.0,168080000.0,515100000.0,22537000.0,5850000.0,769128000.0
1977,6380000.0,6330000.0,6690000.0,0.0,2130000.0,849000.0,1660000.0,519000.0,7030000.0,65100000.0,10500000.0,1480000.0,0.0,381000.0,16900000.0,1190000.0,4940000.0,12100000.0,962000.0,11300000.0,0.0,3440000.0,4130000.0,273000.0,11800000.0,194000.0,74000000.0,705000.0,2270000.0,0.0,3650000.0,526000.0,5560000.0,1380000.0,28000000.0,0.0,3360000.0,30100.0,0.0,1750000.0,0.0,0.0,3270000.0,34100000.0,444000000.0,0.0,12100000.0,0.0,0.0,55268000.0,11626100.0,172130000.0,520900000.0,24365000.0,6690000.0,790979100.0
1978,9890000.0,6530000.0,7200000.0,0.0,2340000.0,937000.0,1640000.0,683000.0,6890000.0,62800000.0,11900000.0,1960000.0,0.0,612000.0,17400000.0,1320000.0,9500000.0,7590000.0,997000.0,11300000.0,0.0,3860000.0,4180000.0,2030000.0,14700000.0,228000.0,67800000.0,854000.0,12100000.0,260000.0,3750000.0,550000.0,5960000.0,1320000.0,28200000.0,0.0,4640000.0,29000.0,0.0,2090000.0,0.0,0.0,4790000.0,32600000.0,442000000.0,0.0,12300000.0,0.0,0.0,62352000.0,15565000.0,175360000.0,519500000.0,25753000.0,7200000.0,805730000.0
1979,16200000.0,6050000.0,8290000.0,0.0,2590000.0,1080000.0,1790000.0,748000.0,7220000.0,66300000.0,12600000.0,2240000.0,0.0,927000.0,17500000.0,1650000.0,13800000.0,7310000.0,1430000.0,11000000.0,0.0,5110000.0,5540000.0,2520000.0,17900000.0,228000.0,71100000.0,1130000.0,17600000.0,438000.0,4220000.0,508000.0,5350000.0,3880000.0,27000000.0,0.0,5690000.0,29900.0,0.0,2160000.0,0.0,0.0,5120000.0,32900000.0,455000000.0,0.0,13700000.0,0.0,0.0,74886000.0,23826900.0,182450000.0,539200000.0,27196000.0,8290000.0,855848900.0
