,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Senegal,Serbia,Slovak Republic,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,Turkmenistan,Ukraine,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe,Hydro_Asia_pp,Hydro_Africa_pp,Hydro_Europe_pp,Hydro_NA_pp,Hydro_SA_pp,Hydro_Oceania_pp,People_Asia,People_Africa,People_Europe,People_NA,Peolpe_SA,People_Oceania,avg_ASIA,avg_AFRICA,avg_EUROPE,avg_NA,avg_SA,avg_OCEANIA
1960,0.0,0.0,0.0,0.0,0.0,0.0334,0.139,0.0,0.0,0.0,0.00162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.077,0.0,0.0,0.0142,0.0,0.0048,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0283,0.0,0.0796,0.0,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.00187,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442,0.0,0.0,0.35700000000000004,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.0,0.0,0.0051600000000000005,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0544,0.0,2.23396,0.581,0.0,0.2354,1,0,19,2,0,2,0.0544,,0.11757684210526316,0.2905,,0.1177
1961,0.0,0.0,0.0,0.0,0.0,0.0379,0.136,0.0,0.0,0.0,0.00176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0719,0.0,0.0,0.013999999999999999,0.0,0.00596,0.0,0.0,0.0,0.0,0.27699999999999997,0.0,0.0,0.0,0.0,0.0224,0.0,0.07200000000000001,0.0,0.0626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.8029999999999999,0.0,0.0,0.0,0.0,0.0,0.00176,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447,0.0,0.0,0.418,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0037600000000000003,0.0,0.0,0.0063100000000000005,0.0698,0.0,0.0,0.0,0.0,0.0,0.0,0.0626,0.0,2.42673,0.5628,0.0,0.2509,1,0,19,2,0,2,0.0626,,0.12772263157894737,0.2814,,0.12545
1962,0.0,0.0,0.0,0.0,0.0,0.0395,0.14,0.0,0.0,0.0,0.00151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.0664,0.0,0.0,0.0132,0.0,0.00659,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.02,0.0,0.0667,0.0,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23800000000000002,0.0,0.0,0.0,0.0,0.898,0.0,0.0,0.0,0.0,0.0,0.00217,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.0,0.0,0.44,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0032600000000000003,0.0,0.0,0.00611,0.0765,0.0,0.0,0.0,0.0,0.0,0.0,0.0569,0.0,2.5529200000000003,0.5605,0.0,0.2775,1,0,19,2,0,2,0.0569,,0.1343642105263158,0.28025,,0.13875
1963,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.136,0.0,0.0,0.0,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0795,0.0,0.0,0.0129,0.0,0.0086,0.0,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.0198,0.0,0.0777,0.0,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.9329999999999999,0.0,0.0,0.0,0.0,0.0,0.0018399999999999998,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579,0.0,0.0,0.42700000000000005,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.00596,0.0,0.0,0.0052899999999999996,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0623,0.0,2.60261,0.5490999999999999,0.0,0.287,1,0,19,2,0,2,0.0623,,0.1369794736842105,0.27454999999999996,,0.1435
1964,0.0,0.0,0.0,0.0,0.0,0.0529,0.151,0.0,0.0,0.0,0.00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0628,0.0,0.0,0.0126,0.0,0.00798,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0236,0.0,0.0657,0.0,0.0614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.00197,0.040999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559,0.0,0.0,0.48200000000000004,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.00456,0.0,0.0,0.00571,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0614,0.0,2.75293,0.587,0.0,0.3139,1,0,19,2,0,2,0.0614,,0.14489105263157895,0.2935,,0.15695
1965,0.0,0.0,0.0,0.0,0.0,0.0628,0.18600000000000003,0.0,0.0,0.0,0.00248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,0.0827,0.0,0.0,0.0161,0.0,0.00805,0.0,0.0,0.0,0.00064,0.28800000000000003,0.0,0.0,0.0,0.0,0.0282,0.0,0.0712,0.0,0.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.00248,0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527,0.0,0.0,0.516,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.00588,0.0,0.0,0.0066,0.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.0,3.0115800000000004,0.6005,0.0,0.3468,1,0,20,2,0,2,0.0672,,0.15057900000000002,0.30025,,0.1734
1966,0.0,0.0,0.0,0.0,0.0,0.0523,0.2,0.0,0.0,0.0,0.00271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0911,0.0,0.0,0.0178,0.0,0.0173,0.0,0.0,0.0,0.00085,0.278,0.0,0.0,0.0,0.0,0.0254,0.0,0.0725,0.0,0.0693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.00245,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.0,0.0,0.502,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.00617,0.0,0.0,0.00632,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0693,0.0,3.0866700000000002,0.645,0.0,0.3563,1,0,20,2,0,2,0.0693,,0.1543335,0.3225,,0.17815
1967,0.0,0.0,0.0,0.0,0.0,0.0551,0.203,0.0,0.0,0.0,0.00215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.0786,0.0,0.0,0.0171,0.0,0.0165,0.0,0.0,0.0,0.0006900000000000001,0.292,0.0,0.0,0.0,0.0,0.0236,0.0,0.0697,0.0,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.00259,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595,0.0,0.0,0.539,0.42700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0061600000000000005,0.0,0.0,0.00685,0.0946,0.0,0.0,0.0,0.0,0.0,0.0,0.0591,0.0,3.25139,0.6566000000000001,0.0,0.3751,1,0,20,2,0,2,0.0591,,0.16256949999999998,0.32830000000000004,,0.18755
1968,0.0,0.0,0.0,0.0,0.0,0.0537,0.207,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5589999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.19699999999999998,0.0867,0.0,0.0,0.0173,0.0,0.0135,0.0,0.0,0.0,0.00075,0.298,0.0,0.0,0.0,0.0,0.0227,0.0,0.0698,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32899999999999996,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0027,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634,0.0,0.0,0.528,0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.008029999999999999,0.0,0.0,0.00554,0.0937,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,3.37519,0.6527,0.0,0.38269999999999993,1,0,20,2,0,2,0.0625,,0.1687595,0.32635,,0.19134999999999996
1969,0.0,0.0,0.0,0.0,0.0,0.0578,0.18899999999999997,0.0,0.0,0.0,0.00206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.16399999999999998,0.0903,0.0,0.0,0.0145,0.0,0.0202,0.0,0.0,0.0,0.00079,0.368,0.0,0.0,0.0,0.0,0.0171,0.0,0.0668,0.0,0.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.00216,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787,0.0,0.0,0.45,0.38299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.00853,0.0,0.0,0.00498,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0633,0.0,3.2247100000000004,0.712,0.0,0.3768,1,0,20,2,0,2,0.0633,,0.16123550000000003,0.356,,0.1884
