,Year,Continent,Net Electricity Generation
0,1985,Asia,1781900000000.0
1,1986,Asia,1879820000000.0
2,1987,Asia,2041920000000.0
3,1988,Asia,2182950000000.0
4,1989,Asia,2349520000000.0
5,1990,Asia,2530000000000.0
6,1991,Asia,2667660000000.0
7,1992,Asia,2822130000000.0
8,1993,Asia,2969180000000.0
9,1994,Asia,3218620000000.0
10,1995,Asia,3434720000000.0
11,1996,Asia,3596550000000.0
12,1997,Asia,3766070000000.0
13,1998,Asia,3874570000000.0
14,1999,Asia,4062690000000.0
15,2000,Asia,4315550000000.0
16,2001,Asia,4519990000000.0
17,2002,Asia,4823400000000.0
18,2003,Asia,5181620000000.0
19,2004,Asia,5664740000000.0
20,2005,Asia,6100550000000.0
21,2006,Asia,6610500000000.0
22,2007,Asia,7198300000000.0
23,2008,Asia,7511900000000.0
24,2009,Asia,7782090000000.0
25,2010,Asia,8555800000000.0
26,2011,Asia,9167600000000.0
27,2012,Asia,9663600000000.0
28,2013,Asia,10236900000000.0
29,2014,Asia,10807100000000.0
30,2015,Asia,10964000000000.0
31,2016,Asia,11492300000000.0
32,2017,Asia,12150700000000.0
33,2018,Asia,12936500000000.0
34,2019,Asia,13352700000000.0
35,1985,Africa,192950000000.0
36,1986,Africa,201260000000.0
37,1987,Africa,208400000000.0
38,1988,Africa,219680000000.0
39,1989,Africa,227920000000.0
40,1990,Africa,234730000000.0
41,1991,Africa,237810000000.0
42,1992,Africa,241020000000.0
43,1993,Africa,251010000000.0
44,1994,Africa,262000000000.0
45,1995,Africa,269500000000.0
46,1996,Africa,286800000000.0
47,1997,Africa,301900000000.0
48,1998,Africa,302000000000.0
49,1999,Africa,306400000000.0
50,2000,Africa,322600000000.0
51,2001,Africa,332300000000.0
52,2002,Africa,350000000000.0
53,2003,Africa,372200000000.0
54,2004,Africa,392100000000.0
55,2005,Africa,403600000000.0
56,2006,Africa,421700000000.0
57,2007,Africa,440600000000.0
58,2008,Africa,448200000000.0
59,2009,Africa,448800000000.0
60,2010,Africa,473400000000.0
61,2011,Africa,491500000000.0
62,2012,Africa,506100000000.0
63,2013,Africa,509000000000.0
64,2014,Africa,519500000000.0
65,2015,Africa,531100000000.0
66,2016,Africa,542700000000.0
67,2017,Africa,555600000000.0
68,2018,Africa,566100000000.0
69,2019,Africa,575400000000.0
70,1985,Europe,3785359000000.0
71,1986,Europe,3884480000000.0
72,1987,Europe,4031330000000.0
73,1988,Europe,4134310000000.0
74,1989,Europe,4206590000000.0
75,1990,Europe,4258960000000.0
76,1991,Europe,4266880000000.0
77,1992,Europe,4178970000000.0
78,1993,Europe,4112160000000.0
79,1994,Europe,4042710000000.0
80,1995,Europe,4106090000000.0
81,1996,Europe,4162850000000.0
82,1997,Europe,4184030000000.0
83,1998,Europe,4251430000000.0
84,1999,Europe,4318980000000.0
85,2000,Europe,4461180000000.0
86,2001,Europe,4539420000000.0
87,2002,Europe,4573600000000.0
88,2003,Europe,4688380000000.0
89,2004,Europe,4789610000000.0
90,2005,Europe,4871640000000.0
91,2006,Europe,4963230000000.0
92,2007,Europe,5045640000000.0
93,2008,Europe,5086420000000.0
94,2009,Europe,4840580000000.0
95,2010,Europe,5053050000000.0
96,2011,Europe,5021020000000.0
97,2012,Europe,5074410000000.0
98,2013,Europe,5022040000000.0
99,2014,Europe,4953620000000.0
100,2015,Europe,5002310000000.0
