Year,Continent,Net Energy Production
1970,Asia,39300.0
1971,Asia,1583410.931
1972,Asia,1722980.931
1973,Asia,1920110.9309999999
1974,Asia,1981950.9309999999
1975,Asia,1935060.9309999999
1976,Asia,2106879.27
1977,Asia,2180578.5930000003
1978,Asia,2200675.0930000003
1979,Asia,2262436.4930000002
1980,Asia,2129674.693
1981,Asia,2009580.9309999999
1982,Asia,1902639.831
1983,Asia,1895449.27
1984,Asia,1979497.17
1985,Asia,1972533.17
1986,Asia,2124807.7
1987,Asia,2189586.2
1988,Asia,2337610.0
1989,Asia,2494695.0
1990,Asia,2802886.0
1991,Asia,2852897.0
1992,Asia,2943969.0
1993,Asia,3046180.0
1994,Asia,3105788.0
1995,Asia,3242068.0
1996,Asia,3318512.0
1997,Asia,3385703.0
1998,Asia,3469269.4
1999,Asia,3484852.1
2000,Asia,3617390.7
2001,Asia,3663418.1
2002,Asia,3720104.7
2003,Asia,4019174.2
2004,Asia,4371620.8
2005,Asia,4631262.1
2006,Asia,4857694.4
2007,Asia,4993711.7
2008,Asia,5282668.3
2009,Asia,5359231.9
2010,Asia,143430.0
1970,Africa,0.0
1971,Africa,421471.7
1972,Africa,426565.1
1973,Africa,445222.1
1974,Africa,427460.6
1975,Africa,413439.0
1976,Africa,470822.5
1977,Africa,491304.9
1978,Africa,496544.3
1979,Africa,542924.7
1980,Africa,523653.2
1981,Africa,476248.6
1982,Africa,477596.0
1983,Africa,493682.5
1984,Africa,531586.9
1985,Africa,556601.8
1986,Africa,564448.0
1987,Africa,576570.0
1988,Africa,610876.0
1989,Africa,642202.0
1990,Africa,674241.0
1991,Africa,704430.0
1992,Africa,711867.0
1993,Africa,726227.0
1994,Africa,743412.0
1995,Africa,770060.0
1996,Africa,794545.0
1997,Africa,829791.0
1998,Africa,840202.0
1999,Africa,849356.0
2000,Africa,878972.0
2001,Africa,885590.0
2002,Africa,889143.0
2003,Africa,947632.0
2004,Africa,984879.0
2005,Africa,1033573.0
2006,Africa,1053437.0
2007,Africa,1075082.0
2008,Africa,1094039.0
2009,Africa,1072405.0
2010,Africa,0.0
1970,Europe,546701.26
1971,Europe,659705.85
1972,Europe,669127.71
1973,Europe,691480.1599999999
1974,Europe,703119.25
1975,Europe,743327.37
1976,Europe,774412.89
1977,Europe,819412.23
1978,Europe,853468.37
1979,Europe,906311.51
1980,Europe,920861.66
1981,Europe,937326.32
1982,Europe,972794.72
1983,Europe,1013114.18
1984,Europe,1026947.52
1985,Europe,1096077.43
1986,Europe,1115282.83
1987,Europe,1130740.2
1988,Europe,1133102.62
1989,Europe,1123391.12
1990,Europe,2560329.84
1991,Europe,2474606.84
1992,Europe,2391172.19
1993,Europe,2308892.97
1994,Europe,2249330.6
1995,Europe,2259183.1
1996,Europe,2300543.5
1997,Europe,2269603.1
1998,Europe,2243895.7
1999,Europe,2268356.9
2000,Europe,2294623.4
2001,Europe,2323641.9
2002,Europe,2372383.539
2003,Europe,2436523.11
2004,Europe,2478445.406
2005,Europe,2468640.225
2006,Europe,2477226.345
2007,Europe,2467882.588
2008,Europe,2478163.807
2009,Europe,2363370.67
2010,Europe,1041564.0
1970,North America,1595000.0
1971,North America,1639400.0
1972,North America,1692100.0
1973,North America,1705300.0
1974,North America,1677200.0
1975,North America,1661000.0
1976,North America,1669900.0
1977,North America,1719200.0
1978,North America,1756000.0
1979,North America,1854000.0
1980,North America,1904000.0
1981,North America,1922000.0
1982,North America,1929000.0
1983,North America,1870000.0
1984,North America,2014000.0
1985,North America,2004000.0
1986,North America,1982000.0
1987,North America,2034000.0
1988,North America,2083000.0
1989,North America,2085000.0
1990,North America,2119000.0
1991,North America,2127000.0
1992,North America,2146000.0
1993,North America,2119000.0
1994,North America,2203000.0
1995,North America,2211000.0
1996,North America,2250000.0
1997,North America,2265000.0
1998,North America,2279000.0
1999,North America,2255000.0
2000,North America,2265000.0
2001,North America,2293000.0
2002,North America,2270000.0
2003,North America,2253000.0
2004,North America,2295000.0
2005,North America,2285000.0
2006,North America,2312000.0
2007,North America,2330000.0
2008,North America,2339000.0
2009,North America,2300000.0
2010,North America,2354000.0
1970,South America,0.0
1971,South America,349468.0
1972,South America,338131.0
1973,South America,357592.0
1974,South America,339272.0
1975,South America,303057.0
1976,South America,304113.0
1977,South America,307941.0
1978,South America,312563.0
1979,South America,333231.0
1980,South America,330811.0
1981,South America,330925.0
1982,South America,328966.0
1983,South America,335232.0
1984,South America,359491.0
1985,South America,362496.0
1986,South America,378897.0
1987,South America,385886.0
1988,South America,399450.0
1989,South America,408656.0
1990,South America,429537.0
1991,South America,446308.0
1992,South America,455168.0
1993,South America,467750.0
1994,South America,490751.0
1995,South America,520809.0
1996,South America,566863.0
1997,South America,594344.0
1998,South America,607443.0
1999,South America,599651.0
2000,South America,622115.0
2001,South America,625918.0
2002,South America,624001.0
2003,South America,628805.0
2004,South America,687998.0
2005,South America,724677.0
2006,South America,753627.0
2007,South America,740327.0
2008,South America,756382.0
2009,South America,759217.0
2010,South America,9560.0
1970,Oceania,51100.0
1971,Oceania,57320.0
1972,Oceania,66240.0
1973,Oceania,72050.0
1974,Oceania,72080.0
1975,Oceania,79800.0
1976,Oceania,80740.0
1977,Oceania,88400.0
1978,Oceania,87560.0
1979,Oceania,91780.0
1980,Oceania,90870.0
1981,Oceania,102970.0
1982,Oceania,105280.0
1983,Oceania,114140.0
1984,Oceania,125990.0
1985,Oceania,136950.0
1986,Oceania,146880.0
1987,Oceania,158680.0
1988,Oceania,147400.0
1989,Oceania,156500.0
1990,Oceania,169500.0
1991,Oceania,179100.0
1992,Oceania,184400.0
1993,Oceania,187900.0
1994,Oceania,186600.0
1995,Oceania,199700.0
1996,Oceania,203800.0
1997,Oceania,215500.0
1998,Oceania,230400.0
1999,Oceania,227700.0
2000,Oceania,248100.0
2001,Oceania,268200.0
2002,Oceania,278600.0
2003,Oceania,277400.0
2004,Oceania,282000.0
2005,Oceania,292600.0
2006,Oceania,295100.0
2007,Oceania,313000.0
2008,Oceania,316000.0
2009,Oceania,326200.0
2010,Oceania,340600.0
