Year,Continent,Net Electricity Generation,Hydro Power,Value
1985,Asia,1781900000000.0,24316872.0,0.0
2010,Asia,8555800000000.0,95562538.0,0.0
1985,Africa,192950000000.0,4167340.0,0.0
2010,Africa,473400000000.0,8809440.0,0.0
1985,Europe,3785359000000.0,39350918.0,0.0
2010,Europe,5053050000000.0,70223010.0,0.0
1985,North America,3215200000000.0,52760000.0,0.0
2010,North America,5273000000000.0,55990000.0,0.0
1985,South America,349680000000.0,24471040.0,0.01
2010,South America,948890000000.0,59512940.0,0.01
1985,Oceania,152500000000.0,2870000.0,0.0
2010,Oceania,295900000000.0,3200000.0,0.0
