Year,Country,Oil Consumption per Person
1965,China,0.0151
1966,China,0.019
1967,China,0.0182
1968,China,0.0194
1969,China,0.0253
1970,China,0.0341
1971,China,0.0453
1972,China,0.0508
1973,China,0.0605
1974,China,0.0681
1975,China,0.0737
1976,China,0.0828
1977,China,0.086
1978,China,0.0939
1979,China,0.0924
1980,China,0.0867
1981,China,0.0811
1982,China,0.0791
1983,China,0.0796
1984,China,0.0812
1985,China,0.0834
1986,China,0.0871
1987,China,0.0907
1988,China,0.0957
1989,China,0.0983
1990,China,0.0959
1991,China,0.102
1992,China,0.11
1993,China,0.12
1994,China,0.12
1995,China,0.129
1996,China,0.14
1997,China,0.152
1998,China,0.155
1999,China,0.163
2000,China,0.174
2001,China,0.17600000000000002
2002,China,0.19
2003,China,0.21
2004,China,0.244
2005,China,0.24600000000000002
2006,China,0.263
2007,China,0.27399999999999997
2008,China,0.278
2009,China,0.287
2010,China,0.326
2011,China,0.336
2012,China,0.35
2013,China,0.363
2014,China,0.375
2015,China,0.397
2016,China,0.40399999999999997
2017,China,0.42
2018,China,0.434
2019,China,0.45299999999999996
1965,India,0.0253
1966,India,0.0277
1967,India,0.027999999999999997
1968,India,0.0307
1969,India,0.0361
1970,India,0.0351
1971,India,0.0361
1972,India,0.038
1973,India,0.0392
1974,India,0.0375
1975,India,0.0375
1976,India,0.0386
1977,India,0.0405
1978,India,0.043
1979,India,0.0454
1980,India,0.0453
1981,India,0.0476
1982,India,0.0483
1983,India,0.0497
1984,India,0.0521
1985,India,0.0553
1986,India,0.0568
1987,India,0.0573
1988,India,0.0615
1989,India,0.0652
1990,India,0.0663
1991,India,0.066
1992,India,0.0681
1993,India,0.0674
1994,India,0.071
1995,India,0.0778
1996,India,0.0823
1997,India,0.0862
1998,India,0.0905
1999,India,0.09699999999999999
2000,India,0.1
2001,India,0.0995
2002,India,0.10400000000000001
2003,India,0.106
2004,India,0.107
2005,India,0.107
2006,India,0.111
2007,India,0.11800000000000001
2008,India,0.121
2009,India,0.126
2010,India,0.127
2011,India,0.131
2012,India,0.138
2013,India,0.138
2014,India,0.14
2015,India,0.15
2016,India,0.16399999999999998
2017,India,0.16899999999999998
2018,India,0.174
2019,India,0.177
1965,Japan,0.893
1966,Japan,1.0
1967,Japan,1.22
1968,Japan,1.4
1969,Japan,1.63
1970,Japan,1.9
1971,Japan,2.06
1972,Japan,2.17
1973,Japan,2.46
1974,Japan,2.33
1975,Japan,2.17
1976,Japan,2.23
1977,Japan,2.27
1978,Japan,2.3
1979,Japan,2.3
1980,Japan,2.05
1981,Japan,1.92
1982,Japan,1.77
1983,Japan,1.76
1984,Japan,1.83
