Year,Country,Oil Consumption,Oil Consumption per Person
1965,France,53900000.0,1.11
1966,France,57700000.0,1.17
1967,France,66200000.0,1.33
1968,France,71800000.0,1.43
1969,France,83000000.0,1.65
1970,France,94300000.0,1.86
1971,France,103000000.0,2.01
1972,France,114000000.0,2.21
1973,France,127000000.0,2.45
1974,France,121000000.0,2.31
1975,France,110000000.0,2.09
1976,France,119000000.0,2.26
1977,France,115000000.0,2.15
1978,France,119000000.0,2.23
1979,France,118000000.0,2.21
1980,France,110000000.0,2.04
1981,France,99000000.0,1.83
1982,France,91500000.0,1.68
1983,France,89400000.0,1.64
1984,France,85900000.0,1.56
1985,France,84300000.0,1.53
1986,France,86000000.0,1.55
1987,France,86600000.0,1.55
1988,France,86000000.0,1.53
1989,France,88400000.0,1.57
1990,France,89400000.0,1.58
1991,France,94600000.0,1.66
1992,France,94400000.0,1.65
1993,France,91000000.0,1.59
1994,France,88100000.0,1.53
1995,France,88900000.0,1.54
1996,France,90700000.0,1.56
1997,France,91300000.0,1.57
1998,France,94700000.0,1.62
1999,France,96100000.0,1.64
2000,France,94600000.0,1.6
2001,France,95100000.0,1.6
2002,France,92500000.0,1.55
2003,France,92700000.0,1.54
2004,France,93600000.0,1.54
2005,France,92400000.0,1.51
2006,France,92200000.0,1.5
2007,France,89800000.0,1.45
2008,France,88100000.0,1.42
2009,France,84600000.0,1.35
2010,France,81600000.0,1.3
2011,France,79900000.0,1.26
2012,France,77100000.0,1.21
2013,France,76000000.0,1.19
2014,France,73400000.0,1.14
2015,France,73300000.0,1.14
2016,France,72900000.0,1.13
2017,France,73200000.0,1.13
2018,France,73000000.0,1.12
2019,France,72400000.0,1.11
1965,Austria,5560000.0,0.7609999999999999
1966,Austria,6120000.0,0.8320000000000001
1967,Austria,6510000.0,0.88
1968,Austria,7540000.0,1.01
1969,Austria,8280000.0,1.11
1970,Austria,9100000.0,1.21
1971,Austria,10200000.0,1.35
1972,Austria,11000000.0,1.45
1973,Austria,11900000.0,1.56
1974,Austria,10600000.0,1.39
1975,Austria,10700000.0,1.4
1976,Austria,11700000.0,1.52
1977,Austria,11100000.0,1.46
1978,Austria,12000000.0,1.57
1979,Austria,12500000.0,1.64
1980,Austria,12200000.0,1.6
1981,Austria,11000000.0,1.45
1982,Austria,10500000.0,1.38
1983,Austria,10100000.0,1.33
1984,Austria,9820000.0,1.29
1985,Austria,9840000.0,1.29
1986,Austria,10400000.0,1.36
1987,Austria,10700000.0,1.4
1988,Austria,10600000.0,1.38
1989,Austria,10400000.0,1.35
1990,Austria,10800000.0,1.4
1991,Austria,11700000.0,1.5
1992,Austria,11400000.0,1.45
1993,Austria,11500000.0,1.45
1994,Austria,11300000.0,1.42
1995,Austria,11300000.0,1.42
1996,Austria,11700000.0,1.46
1997,Austria,11900000.0,1.48
1998,Austria,12400000.0,1.54
1999,Austria,12100000.0,1.51
2000,Austria,11800000.0,1.47
2001,Austria,12900000.0,1.59
2002,Austria,13100000.0,1.62
2003,Austria,14200000.0,1.74
2004,Austria,13800000.0,1.68
2005,Austria,13800000.0,1.67
2006,Austria,13800000.0,1.66
2007,Austria,12900000.0,1.56
