,Year,Type,Asia,Africa,Europe,NA,SA,Oceania
0,1965,Coal,205876300.0,25355000.0,514921540.0,293190000.0,5703100.0,19050000.0
1,1966,Coal,217635000.0,24921000.0,494161810.0,306936000.0,5755500.0,19600000.0
2,1967,Coal,210130700.0,25751000.0,478921700.0,300903000.0,6097300.0,19960000.0
3,1968,Coal,211955900.0,26943000.0,485875920.0,312246000.0,5848900.0,20480000.0
4,1969,Coal,240484600.0,27293000.0,492739060.0,312759000.0,6373700.0,21110000.0
5,1970,Coal,272466600.0,28206000.0,483876380.0,311980000.0,7080900.0,21310000.0
6,1971,Coal,292271070.0,29881000.0,462387946.0,295450000.0,6579000.0,21260000.0
7,1972,Coal,304082990.0,30206000.0,445868683.0,305690000.0,6436000.0,22190000.0
8,1973,Coal,311843140.0,32065000.0,453197431.0,328200000.0,6740000.0,23260000.0
9,1974,Coal,318943420.0,33765000.0,448094347.0,320670000.0,7355000.0,24200000.0
10,1975,Coal,346142780.0,36113000.0,436860233.0,320530000.0,7722000.0,24810000.0
11,1976,Coal,352620611.0,37858000.0,457449237.0,344860000.0,7785000.0,25650000.0
12,1977,Coal,377142860.0,39326000.0,456466216.0,358640000.0,8867000.0,26690000.0
13,1978,Coal,395170230.0,38173000.0,464301182.0,351540000.0,9527900.0,27280000.0
14,1979,Coal,414232374.0,40671000.0,483375800.0,380500000.0,10086000.0,28240000.0
15,1980,Coal,437297270.0,43712000.0,493479000.0,393520000.0,10677000.0,29070000.0
16,1981,Coal,452869880.0,51777000.0,483175700.0,405650000.0,10547000.0,29770000.0
17,1982,Coal,467849430.0,57539000.0,484836300.0,393360000.0,10573300.0,30040000.0
18,1983,Coal,495774660.0,58423000.0,489747600.0,408800000.0,11663000.0,30170000.0
19,1984,Coal,540721800.0,62832000.0,487721800.0,439710000.0,13473000.0,31780000.0
20,1985,Coal,625251300.0,64669000.0,801974400.0,447850000.0,15430000.0,32790000.0
21,1986,Coal,650701890.0,65833000.0,801348300.0,441160000.0,15632000.0,33750000.0
22,1987,Coal,699799070.0,67292000.0,810938200.0,460950000.0,17145000.0,34840000.0
23,1988,Coal,749332580.0,72491000.0,795485800.0,482770000.0,17071000.0,36730000.0
24,1989,Coal,780507841.0,67867000.0,781631100.0,489000000.0,18463000.0,38530000.0
25,1990,Coal,797469400.0,69818000.0,741178000.0,489470000.0,15458000.0,39400000.0
26,1991,Coal,830132267.0,68751000.0,695412000.0,484560000.0,16359000.0,40140000.0
27,1992,Coal,862626567.0,69118000.0,653619800.0,488100000.0,17238650.0,40460000.0
28,1993,Coal,906045384.0,69432000.0,606573500.0,502520000.0,17401500.0,40740000.0
29,1994,Coal,955033358.9,71810000.0,563996900.0,506700000.0,18548500.0,41470000.0
30,1995,Coal,971483506.45,74244000.0,553299400.0,512310000.0,18797110.0,42770000.0
31,1996,Coal,1014708496.06,75736000.0,538348800.0,535640000.0,19366100.0,44460000.0
32,1997,Coal,1012874033.4,77310000.0,516268100.0,546850000.0,20859300.0,46750000.0
