Year,Continent,Percentual Oil Consumption,AVG Oil Consumption per Person
1965,Asia,13.43431807728413,1.159135
1966,Asia,13.993825797052741,1.113725
1967,Asia,15.05977947202107,1.1024550000000004
1968,Asia,15.65310145133927,1.10724
1969,Asia,16.60527590521939,1.07797
1970,Asia,17.630970956980132,1.0703750000000003
1971,Asia,18.528294333283622,1.0212571428571429
1972,Asia,18.58418302180117,1.0918857142857146
1973,Asia,19.57619698232286,1.0738095238095238
1974,Asia,20.150330625329524,1.0319857142857145
1975,Asia,20.290557613390785,0.9352380952380952
1976,Asia,20.315963933913586,1.0441190476190476
1977,Asia,20.856211906065788,1.0953666666666666
1978,Asia,21.47846544326332,1.094590476190476
1979,Asia,22.022932941871318,1.1744238095238095
1980,Asia,22.00974092896127,1.2527
1981,Asia,22.915294570311413,1.330366666666667
1982,Asia,23.51431118832128,1.3941333333333334
1983,Asia,24.51453756323441,1.3929190476190474
1984,Asia,25.044155209255766,1.4489238095238093
1985,Asia,23.163516418408708,1.4590280000000002
1986,Asia,22.9597279054314,1.493016
1987,Asia,23.266645965488177,1.5039280000000002
1988,Asia,24.29034029186073,1.499888
1989,Asia,25.15463847238155,1.5361200000000002
1990,Asia,26.03002063775855,1.5404520000000002
1991,Asia,27.246012799111494,1.6125040000000004
1992,Asia,28.36397008492169,1.634988
1993,Asia,29.732627149078127,1.63834
1994,Asia,30.951603722094628,1.7549800000000004
1995,Asia,31.89411628698554,1.7567320000000002
1996,Asia,32.534403886207606,1.7263319999999995
1997,Asia,33.30430475216516,1.7418959999999999
1998,Asia,32.2362415581442,1.7321839999999995
1999,Asia,32.775669174425374,1.7142680000000001
2000,Asia,33.54861270801635,1.69568
2001,Asia,33.52139025493113,1.711436
2002,Asia,34.27468862020065,1.7533559999999997
2003,Asia,35.046780027487216,1.7864200000000003
2004,Asia,35.749930590460444,1.845564
2005,Asia,36.005270132637875,1.881236
2006,Asia,36.55948290877629,1.8482319999999999
2007,Asia,37.39339684040145,1.83176
2008,Asia,38.24826962269749,1.8452040000000005
2009,Asia,39.59575607986404,1.7967240000000002
2010,Asia,40.611015735003186,1.8296640000000004
2011,Asia,41.57711939718314,1.8375200000000005
2012,Asia,42.95822577964013,1.86224
2013,Asia,43.410602425722246,1.86822
2014,Asia,43.724264490319904,1.819416
2015,Asia,44.39602438753122,1.870868
