Year,Value,Variety,Continent
1990,Coal,1244032,Europe
1995,Coal,1119088,Europe
2000,Coal,1121923,Europe
2005,Coal,1166373,Europe
2010,Coal,1067948,Europe
2015,Coal,1038043,Europe
2018,Coal,890941,Europe
1990,Coal,990313,Asia
1995,Coal,1522623,Asia
2000,Coal,2159105,Asia
2005,Coal,3368081,Asia
2010,Coal,4954627,Asia
2015,Coal,6376008,Asia
2018,Coal,7331682,Asia
1990,Coal,1789642,North America
1995,Coal,1935372,North America
2000,Coal,2266080,North America
2005,Coal,2287284,North America
2010,Coal,2106017,North America
2015,Coal,1566860,North America
2018,Coal,1351824,North America
1990,Coal,16090,South America
1995,Coal,18717,South America
2000,Coal,24128,South America
2005,Coal,25744,South America
2010,Coal,38738,South America
2015,Coal,72408,South America
2018,Coal,67044,South America
1990,Coal,272957,Oceania
1995,Coal,375675,Oceania
2000,Coal,539146,Oceania
2005,Coal,665402,Oceania
2010,Coal,746752,Oceania
2015,Coal,780569,Oceania
2018,Coal,729390,Oceania
1990,Coal,164378,Africa
1995,Coal,186509,Africa
2000,Coal,208651,Africa
2005,Coal,249540,Africa
2010,Coal,259289,Africa
2015,Coal,254730,Africa
2018,Coal,260201,Africa
1990,Oil,313578,Europe
1995,Oil,266264,Europe
2000,Oil,208167,Europe
2005,Oil,157769,Europe
2010,Oil,93421,Europe
2015,Oil,69628,Europe
2018,Oil,58453,Europe
1990,Oil,435951,Asia
1995,Oil,450315,Asia
2000,Oil,377974,Asia
2005,Oil,350241,Asia
2010,Oil,268941,Asia
2015,Oil,233685,Asia
2018,Oil,174644,Asia
1990,Oil,209179,North America
1995,Oil,166923,North America
2000,Oil,226771,North America
2005,Oil,225408,North America
2010,Oil,101011,North America
2015,Oil,78324,North America
2018,Oil,84197,North America
1990,Oil,66941,South America
1995,Oil,76788,South America
2000,Oil,104367,South America
2005,Oil,119009,South America
2010,Oil,147906,South America
2015,Oil,161051,South America
2018,Oil,98130,South America
1990,Oil,283025,Oceania
1995,Oil,260562,Oceania
2000,Oil,183913,Oceania
2005,Oil,171025,Oceania
2010,Oil,123101,Oceania
2015,Oil,117458,Oceania
2018,Oil,68213,Oceania
1990,Oil,40662,Africa
1995,Oil,37684,Africa
2000,Oil,36761,Africa
2005,Oil,51107,Africa
2010,Oil,64105,Africa
2015,Oil,89878,Africa
2018,Oil,66726,Africa
1990,Natural gas,281753,Europe
1995,Natural gas,341868,Europe
2000,Natural gas,586588,Europe
2005,Natural gas,818584,Europe
2010,Natural gas,946705,Europe
2015,Natural gas,682912,Europe
2018,Natural gas,819543,Europe
1990,Natural gas,257461,Asia
1995,Natural gas,398996,Asia
