Year,Country,Electricity Generation,Energy Production
1985,Spain,127000000000.0,26500.0
1986,Spain,129000000000.0,28300.0
1987,Spain,133000000000.0,27900.0
1988,Spain,139000000000.0,30300.0
1989,Spain,147000000000.0,34600.0
1990,Spain,152000000000.0,34600.0
1991,Spain,156000000000.0,34300.0
1992,Spain,159000000000.0,33700.0
1993,Spain,157000000000.0,32900.0
1994,Spain,162000000000.0,32300.0
1995,Spain,167000000000.0,31500.0
1996,Spain,174000000000.0,32700.0
1997,Spain,190000000000.0,31700.0
1998,Spain,195000000000.0,32300.0
1999,Spain,208000000000.0,30700.0
2000,Spain,224000000000.0,31700.0
2001,Spain,236000000000.0,33500.0
2002,Spain,245000000000.0,31800.0
2003,Spain,261000000000.0,33000.0
2004,Spain,280000000000.0,32600.0
2005,Spain,294000000000.0,30100.0
2006,Spain,299000000000.0,31300.0
2007,Spain,305000000000.0,30300.0
2008,Spain,314000000000.0,30400.0
2009,Spain,296000000000.0,29700.0
2010,Spain,300000000000.0,33900.0
1985,Germany,523000000000.0,209000.0
1986,Germany,524000000000.0,200000.0
1987,Germany,532000000000.0,200000.0
1988,Germany,549000000000.0,202000.0
1989,Germany,560000000000.0,201000.0
1990,Germany,550000000000.0,186000.0
1991,Germany,540000000000.0,168000.0
1992,Germany,538000000000.0,163000.0
1993,Germany,527000000000.0,152000.0
1994,Germany,528000000000.0,145000.0
1995,Germany,537000000000.0,145000.0
1996,Germany,553000000000.0,143000.0
1997,Germany,552000000000.0,144000.0
1998,Germany,557000000000.0,136000.0
1999,Germany,556000000000.0,137000.0
2000,Germany,577000000000.0,135000.0
2001,Germany,586000000000.0,135000.0
2002,Germany,587000000000.0,135000.0
2003,Germany,609000000000.0,136000.0
2004,Germany,617000000000.0,138000.0
2005,Germany,623000000000.0,135000.0
2006,Germany,640000000000.0,136000.0
2007,Germany,641000000000.0,138000.0
2008,Germany,641000000000.0,134000.0
2009,Germany,596000000000.0,127000.0
2010,Germany,633000000000.0,129000.0
1985,France,343000000000.0,93300.0
1986,France,362000000000.0,99900.0
1987,France,378000000000.0,104000.0
1988,France,392000000000.0,105000.0
1989,France,406000000000.0,109000.0
1990,France,421000000000.0,112000.0
1991,France,456000000000.0,119000.0
1992,France,464000000000.0,120000.0
1993,France,473000000000.0,126000.0
1994,France,477000000000.0,124000.0
1995,France,494000000000.0,128000.0
1996,France,513000000000.0,132000.0
1997,France,505000000000.0,129000.0
1998,France,511000000000.0,125000.0
1999,France,526000000000.0,127000.0
2000,France,540000000000.0,131000.0
2001,France,550000000000.0,132000.0
2002,France,559000000000.0,134000.0
2003,France,567000000000.0,136000.0
2004,France,574000000000.0,137000.0
2005,France,576000000000.0,137000.0
2006,France,575000000000.0,137000.0
2007,France,570000000000.0,135000.0
2008,France,574000000000.0,137000.0
2009,France,536000000000.0,130000.0
2010,France,569000000000.0,136000.0
1985,United Kingdom,298000000000.0,238000.0
1986,United Kingdom,301000000000.0,247000.0
1987,United Kingdom,302000000000.0,242000.0
1988,United Kingdom,309000000000.0,234000.0
1989,United Kingdom,315000000000.0,209000.0
1990,United Kingdom,320000000000.0,208000.0
1991,United Kingdom,323000000000.0,215000.0
1992,United Kingdom,321000000000.0,215000.0
1993,United Kingdom,323000000000.0,223000.0
1994,United Kingdom,327000000000.0,245000.0
1995,United Kingdom,337000000000.0,258000.0
1996,United Kingdom,351000000000.0,269000.0
1997,United Kingdom,351000000000.0,268000.0
1998,United Kingdom,363000000000.0,272000.0
1999,United Kingdom,368000000000.0,282000.0
2000,United Kingdom,377000000000.0,273000.0
2001,United Kingdom,385000000000.0,262000.0
2002,United Kingdom,387000000000.0,258000.0
2003,United Kingdom,398000000000.0,247000.0
2004,United Kingdom,394000000000.0,226000.0
2005,United Kingdom,398000000000.0,205000.0
2006,United Kingdom,397000000000.0,187000.0
2007,United Kingdom,397000000000.0,177000.0
2008,United Kingdom,389000000000.0,167000.0
2009,United Kingdom,377000000000.0,159000.0
2010,United Kingdom,382000000000.0,150000.0
