,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovak Republic,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,Oil_Cons_Asia,Oil_Cons_Africa,Oil_Cons_Europe,Oil_Cons_NA,Oil_Cons_SA,Oil_Cons_Oceania
1965,1290000.0,22000000.0,15100000.0,5560000.0,0.0,0.0,0.0,15900000.0,14800000.0,3700000.0,53800000.0,3490000.0,11000000.0,3840000.0,0.0,394000.0,4000000.0,10400000.0,661000.0,6940000.0,0.0,5720000.0,53900000.0,86300000.0,4440000.0,3780000.0,469000.0,12600000.0,6120000.0,7110000.0,1320000.0,2420000.0,3880000.0,52300000.0,87900000.0,0.0,5450000.0,0.0,0.0,831000.0,2280000.0,14800000.0,955000.0,25300000.0,2720000.0,0.0,5110000.0,442000.0,3780000.0,3750000.0,4180000.0,5410000.0,2570000.0,47000.0,7150000.0,0.0,19600000.0,4110000.0,2300000.0,0.0,5610000.0,1290000.0,14200000.0,456000.0,19400000.0,8040000.0,2300000.0,1900000.0,3560000.0,0.0,0.0,69600.0,75000000.0,551000000.0,0.0,9560000.0,1490000.0,175424600.0,14795000.0,418154000.0,619600000.0,60001000.0,17820000.0
1966,1690000.0,22800000.0,18000000.0,6120000.0,0.0,0.0,0.0,16300000.0,16200000.0,4230000.0,56700000.0,3820000.0,14100000.0,4400000.0,0.0,450000.0,4420000.0,11900000.0,691000.0,7450000.0,0.0,6920000.0,57700000.0,96500000.0,4840000.0,4140000.0,506000.0,14100000.0,5890000.0,7770000.0,1430000.0,2700000.0,4040000.0,57700000.0,100000000.0,0.0,5320000.0,0.0,0.0,947000.0,2660000.0,15500000.0,1390000.0,27400000.0,3010000.0,0.0,5760000.0,461000.0,3880000.0,4680000.0,4560000.0,5620000.0,2630000.0,47000.0,7450000.0,0.0,19700000.0,4700000.0,2540000.0,0.0,6090000.0,1930000.0,16800000.0,467000.0,22000000.0,8550000.0,2720000.0,1910000.0,4250000.0,0.0,0.0,74300.0,80300000.0,579000000.0,0.0,9370000.0,3250000.0,197099300.0,16620000.0,458673000.0,651200000.0,63871000.0,21010000.0
1967,1580000.0,23300000.0,19700000.0,6510000.0,0.0,0.0,0.0,17900000.0,16700000.0,5320000.0,60600000.0,3980000.0,13900000.0,4430000.0,0.0,487000.0,4920000.0,12600000.0,746000.0,6060000.0,0.0,7250000.0,66200000.0,100000000.0,5690000.0,4380000.0,490000.0,14600000.0,5670000.0,8570000.0,1550000.0,3020000.0,4220000.0,63700000.0,123000000.0,0.0,5200000.0,0.0,0.0,1050000.0,2710000.0,16600000.0,1520000.0,28000000.0,3170000.0,0.0,5960000.0,481000.0,4340000.0,4710000.0,5150000.0,6090000.0,2900000.0,71000.0,8430000.0,0.0,19900000.0,5660000.0,2830000.0,0.0,6620000.0,3340000.0,20300000.0,478000.0,21900000.0,9260000.0,3020000.0,2000000.0,4990000.0,0.0,0.0,79800.0,86200000.0,601000000.0,0.0,9540000.0,4760000.0,226699800.0,15780000.0,496377000.0,678200000.0,65406000.0,22870000.0
1968,1680000.0,23800000.0,21500000.0,7540000.0,0.0,0.0,0.0,20900000.0,20000000.0,6300000.0,64500000.0,4190000.0,15200000.0,4930000.0,0.0,542000.0,5420000.0,13600000.0,891000.0,6340000.0,0.0,8220000.0,71800000.0,112000000.0,5820000.0,4580000.0,523000.0,16300000.0,5990000.0,9440000.0,1680000.0,3360000.0,4400000.0,70300000.0,143000000.0,0.0,5090000.0,0.0,0.0,1160000.0,2750000.0,18100000.0,1670000.0,30100000.0,3250000.0,0.0,6630000.0,503000.0,4940000.0,4740000.0,5880000.0,7620000.0,3110000.0,92000.0,8870000.0,0.0,20100000.0,7040000.0,3120000.0,0.0,7200000.0,4940000.0,21600000.0,490000.0,24800000.0,10300000.0,3990000.0,2040000.0,6030000.0,0.0,0.0,89100.0,91100000.0,643000000.0,0.0,10400000.0,4850000.0,256764100.0,16890000.0,545345000.0,725600000.0,70991000.0,24750000.0
1969,1780000.0,24700000.0,22100000.0,8280000.0,0.0,0.0,0.0,24100000.0,22000000.0,7740000.0,67100000.0,4450000.0,20400000.0,4740000.0,0.0,640000.0,5820000.0,16400000.0,946000.0,4680000.0,0.0,9560000.0,83000000.0,126000000.0,6190000.0,5120000.0,479000.0,19600000.0,6390000.0,10300000.0,1810000.0,3650000.0,4580000.0,77300000.0,169000000.0,0.0,4980000.0,0.0,0.0,1280000.0,2840000.0,19100000.0,1810000.0,32900000.0,3380000.0,0.0,7290000.0,524000.0,4630000.0,4680000.0,6300000.0,8390000.0,3260000.0,107000.0,9900000.0,0.0,20300000.0,6920000.0,3350000.0,0.0,7920000.0,6710000.0,24600000.0,501000.0,26600000.0,11200000.0,4330000.0,2130000.0,6710000.0,0.0,0.0,99000.0,97900000.0,678000000.0,0.0,10300000.0,5860000.0,296181000.0,16190000.0,607659000.0,764200000.0,73946000.0,25480000.0
1970,2030000.0,22100000.0,24400000.0,9100000.0,0.0,0.0,0.0,26200000.0,24900000.0,8990000.0,71600000.0,4700000.0,28200000.0,5340000.0,0.0,674000.0,6980000.0,18300000.0,1080000.0,6080000.0,0.0,10800000.0,94300000.0,139000000.0,6710000.0,5930000.0,489000.0,19500000.0,6790000.0,11100000.0,2440000.0,4100000.0,4780000.0,87300000.0,199000000.0,0.0,4870000.0,0.0,0.0,1360000.0,3130000.0,20500000.0,1890000.0,36500000.0,3980000.0,0.0,8200000.0,548000.0,4580000.0,4920000.0,7180000.0,8860000.0,4520000.0,93000.0,10700000.0,0.0,21000000.0,7510000.0,4010000.0,0.0,8580000.0,8380000.0,28100000.0,1000000.0,29000000.0,12500000.0,5050000.0,2190000.0,7100000.0,0.0,0.0,115000.0,104000000.0,706000000.0,0.0,10700000.0,6080000.0,341346000.0,18580000.0,673723000.0,798100000.0,75930000.0,28380000.0
1971,2290000.0,23600000.0,25700000.0,10200000.0,0.0,676000.0,0.0,26900000.0,27400000.0,9890000.0,73500000.0,5210000.0,38400000.0,5530000.0,0.0,805000.0,7690000.0,18000000.0,1190000.0,6260000.0,0.0,11100000.0,103000000.0,144000000.0,7410000.0,6680000.0,533000.0,20500000.0,7020000.0,12100000.0,2610000.0,4530000.0,4990000.0,93800000.0,220000000.0,0.0,4810000.0,0.0,0.0,1410000.0,3430000.0,21800000.0,2000000.0,36000000.0,4100000.0,0.0,8090000.0,1340000.0,4290000.0,4860000.0,8320000.0,9420000.0,5130000.0,89000.0,10900000.0,0.0,21300000.0,6510000.0,4420000.0,0.0,9390000.0,9460000.0,30900000.0,909000.0,27200000.0,13300000.0,5630000.0,2260000.0,8430000.0,0.0,0.0,136000.0,105000000.0,730000000.0,0.0,10800000.0,5140000.0,377660000.0,19940000.0,704738000.0,825300000.0,80850000.0,29800000.0
1972,2510000.0,23600000.0,26100000.0,11000000.0,0.0,835000.0,0.0,29100000.0,31500000.0,10300000.0,77400000.0,5520000.0,44200000.0,6300000.0,0.0,907000.0,8420000.0,19100000.0,1230000.0,7150000.0,0.0,11900000.0,114000000.0,152000000.0,8590000.0,7260000.0,571000.0,22100000.0,7580000.0,13500000.0,3240000.0,4980000.0,5210000.0,98200000.0,234000000.0,0.0,5240000.0,0.0,0.0,1480000.0,3810000.0,24500000.0,2120000.0,40100000.0,4420000.0,0.0,8480000.0,1530000.0,3550000.0,4150000.0,8160000.0,10600000.0,5570000.0,106000.0,11600000.0,0.0,22700000.0,8170000.0,4840000.0,0.0,10200000.0,9880000.0,32500000.0,998000.0,27900000.0,13600000.0,7080000.0,3730000.0,9550000.0,0.0,0.0,179000.0,111000000.0,789000000.0,0.0,11800000.0,5330000.0,407398000.0,21980000.0,753548000.0,890900000.0,87830000.0,30520000.0
1973,2740000.0,23700000.0,27900000.0,11900000.0,0.0,947000.0,0.0,30600000.0,38800000.0,10800000.0,81700000.0,5250000.0,53800000.0,6020000.0,0.0,974000.0,9470000.0,17600000.0,1360000.0,6720000.0,0.0,13300000.0,127000000.0,162000000.0,10000000.0,8160000.0,661000.0,23300000.0,9050000.0,16200000.0,3140000.0,5400000.0,5510000.0,104000000.0,269000000.0,0.0,4980000.0,0.0,0.0,1640000.0,4120000.0,26200000.0,2550000.0,41300000.0,4680000.0,0.0,8610000.0,1330000.0,3640000.0,4920000.0,9600000.0,11700000.0,6130000.0,138000.0,13100000.0,0.0,24100000.0,7680000.0,5440000.0,0.0,11300000.0,12200000.0,39100000.0,1040000.0,28500000.0,14700000.0,7500000.0,3750000.0,11700000.0,0.0,0.0,280000.0,114000000.0,833000000.0,0.0,12900000.0,5240000.0,462795000.0,23310000.0,807785000.0,940900000.0,96700000.0,32580000.0
1974,3040000.0,23900000.0,29500000.0,10600000.0,0.0,982000.0,0.0,26900000.0,41900000.0,11300000.0,83000000.0,5030000.0,61900000.0,6680000.0,0.0,868000.0,9720000.0,16000000.0,1560000.0,7420000.0,0.0,11600000.0,121000000.0,147000000.0,9390000.0,8930000.0,618000.0,22800000.0,9460000.0,18700000.0,3100000.0,5350000.0,5620000.0,101000000.0,259000000.0,0.0,4570000.0,0.0,0.0,1480000.0,4110000.0,29700000.0,2730000.0,35400000.0,4490000.0,0.0,7840000.0,1210000.0,3920000.0,5840000.0,8980000.0,12400000.0,6540000.0,188000.0,12100000.0,0.0,25300000.0,7560000.0,5590000.0,0.0,11000000.0,12600000.0,41100000.0,825000.0,25600000.0,13000000.0,7660000.0,3700000.0,11300000.0,0.0,0.0,388000.0,106000000.0,800000000.0,0.0,12900000.0,3190000.0,462063000.0,24190000.0,758626000.0,912700000.0,101510000.0,33990000.0
